"drug1_id","drug2_id","condition_id"
"DB09074","DB14545","D002289"
"DB08899","DB14545","D000077195"
"DB12001","DB14723","D005909"
"DB00398","DB00104","D001943"
"DB00398","DB00104","D000077192"
"DB08899","DB14545","D002289"
"DB09073","DB00104","D002289"
"DB08916","DB00104","D004938"
"DB01254","DB14545","D004938"
"DB01254","DB14545","D002289"
"DB08899","DB14545","D002294"
"DB09073","DB00104","D001943"
"DB12001","DB09570","D010051"
"DB08877","DB00104","D002292"
"DB11730","DB00104","D001943"
"DB11730","DB14545","D000077195"
"DB11730","DB00104","D000077192"
"DB08828","DB14545","D004938"
"DB08828","DB14545","D000077195"
"DB11730","DB14545","D002289"
"DB08899","DB11730","D004938"
"DB11730","DB14545","D004938"
"DB08916","DB11730","D004938"
"DB11730","DB14545","D002294"
"DB08911","DB01204","D005910"
"DB09073","DB11730","D004938"
"DB08912","DB11730","D001943"
"DB12001","DB12267","D005910"
"DB08877","DB09570","D016889"
"DB11730","DB00367","D016889"
"DB12001","DB12267","D005909"
"DB09074","DB11730","D011471"
"DB09073","DB11730","D002289"
"DB11730","DB11581","D001943"
"DB08912","DB11730","D001749"
"DB09073","DB11730","D008545"
"DB11730","DB00361","D001943"
"DB09074","DB11730","D000077195"
"DB12001","DB14723","D009373"
"DB09074","DB11730","D002289"
"DB11901","DB11730","D001943"
"DB11730","DB00762","D004938"
"DB09073","DB11730","D001749"
"DB08916","DB11730","D000077195"
"DB12001","DB08916","D005909"
"DB12001","DB14723","D005910"
"DB12001","DB09073","D001749"
"DB01590","DB09073","D002292"
"DB11730","DB11581","D008545"
"DB12001","DB08912","D005910"
"DB01590","DB11652","D001749"
"DB01590","DB09074","D001749"
"DB09074","DB11730","D001943"
"DB12483","DB11730","D000077195"
"DB11730","DB00762","D000077195"
"DB12001","DB09073","D021441"
"DB12001","DB09073","D000077195"
"DB12001","DB09073","D004938"
"DB09074","DB08877","D021441"
"DB05015","DB08877","D000077195"
"DB05015","DB08877","D016889"
"DB11730","DB12010","D010051"
"DB01590","DB14568","D001749"
"DB01005","DB11730","D002289"
"DB01259","DB11730","D001943"
"DB12001","DB09073","D005910"
"DB11730","DB11942","D004938"
"DB11730","DB00997","D001943"
"DB09073","DB11730","D001943"
"DB08899","DB11730","D000077195"
"DB01590","DB00367","D016889"
"DB11652","DB12010","D001943"
"DB08912","DB12141","D003110"
"DB01590","DB09073","D008545"
"DB08877","DB01030","D002294"
"DB11901","DB01590","D001943"
"DB01590","DB08877","D003110"
"DB01590","DB09074","D010051"
"DB08899","DB11730","D016889"
"DB08912","DB01590","D013964"
"DB12001","DB01590","D006528"
"DB01590","DB09073","D004938"
"DB01590","DB06137","D001749"
"DB08912","DB01590","D008545"
"DB01590","DB09073","D001749"
"DB01590","DB08895","D002289"
"DB11730","DB00997","D004938"
"DB01590","DB01204","D006528"
"DB12267","DB01590","D008545"
"DB11730","DB00244","D001943"
"DB08877","DB00683","D002289"
"DB11730","DB00367","D002294"
"DB12001","DB11730","D001943"
"DB09074","DB11730","D006528"
"DB11730","DB00683","D011471"
"DB11730","DB12887","D001943"
"DB11730","DB00683","D001943"
"DB11730","DB11942","D001943"
"DB01005","DB08877","D002292"
"DB11730","DB11942","D002289"
"DB09073","DB11730","D000077192"
"DB12001","DB08899","D002289"
"DB01005","DB11730","D000077195"
"DB11730","DB06137","D001749"
"DB11730","DB00482","D011471"
"DB09073","DB11730","D000077195"
"DB01254","DB08877","D002292"
"DB11730","DB00367","D001943"
"DB08916","DB08828","D000077195"
"DB11730","DB01204","D006528"
"DB12001","DB09073","D000077192"
"DB08865","DB08828","D000077192"
"DB08877","DB08895","D002292"
"DB08877","DB06137","D002292"
"DB08877","DB15133","D002292"
"DB01005","DB11652","D021441"
"DB01254","DB08828","D016889"
"DB04868","DB08877","D002292"
"DB14723","DB12010","D001943"
"DB08875","DB08877","D011471"
"DB11730","DB01229","D001943"
"DB08875","DB08877","D010673"
"DB08916","DB14723","D000077192"
"DB09073","DB08828","D005909"
"DB01005","DB08877","D004938"
"DB08877","DB00482","D011471"
"DB08877","DB01229","D011471"
"DB08877","DB11581","D002292"
"DB12001","DB08828","D004938"
"DB09073","DB08828","D001749"
"DB14568","DB08877","D011471"
"DB09073","DB08828","D002289"
"DB09073","DB08828","D000077195"
"DB09073","DB08828","D004938"
"DB15233","DB08828","D000077192"
"DB09074","DB08828","D003110"
"DB09074","DB08828","D004938"
"DB12001","DB12010","D000077192"
"DB12001","DB00762","D000077195"
"DB12001","DB14568","D005909"
"DB08877","DB08895","D004938"
"DB05015","DB08828","D016889"
"DB12001","DB09073","D000077195"
"DB12001","DB14568","D005910"
"DB12001","DB12010","D001749"
"DB12001","DB12130","D008545"
"DB14723","DB08877","D001943"
"DB12001","DB08899","D016889"
"DB12001","DB12130","D004938"
"DB12001","DB12010","D002289"
"DB12001","DB08899","D010051"
