drug	condition
DB00762	D012509
DB00762	D012512
DB05109	D012509
DB05109	D012512
DB01109	D062788
DB15404	D062788
DB06822	D062788
DB06779	D062788
DB00432	D000230
DB00432	D004938
DB00526	D004938
DB13928	D003920
DB13928	D003924
DB09079	D009220
DB09079	D008171
DB09079	D017563
DB00635	D016393
DB00635	D016403
DB01380	D008223
DB14681	D008223
DB01380	D016393
DB14681	D016393
DB01380	D016403
DB14681	D016403
DB00531	D016393
DB00531	D016403
DB00997	D008223
DB00997	D016393
DB00997	D016403
DB00541	D016393
DB00541	D016403
DB00480	D008223
DB00480	D016393
DB00480	D016403
DB01211	D007239
DB01211	D003141
DB01211	D009164
DB01211	D015270
DB00615	D007239
DB00615	D003141
DB00615	D009164
DB00615	D015270
DB00650	D013274
DB01248	D013274
DB00526	D013274
DB00958	D001749
DB00441	D001749
DB00007	D001943
DB00007	D064726
DB00014	D001943
DB00014	D064726
DB06825	D001943
DB06825	D064726
DB09099	D010182
DB11059	D015352
DB11059	D007638
DB11059	D007637
DB09462	D015352
DB09462	D007638
DB09462	D007637
DB00482	D011470
DB00482	D006965
DB00590	D011470
DB00590	D006965
DB00759	D001847
DB09550	D001847
DB00091	D002051
DB00091	D008223
DB00091	D007938
DB00091	D007951
DB00091	D015470
DB00091	D008224
DB00091	D009362
DB00091	D008228
DB00091	D016393
DB00091	D007945
DB00091	D015451
DB00091	D006689
DB00091	D020522
DB00091	D018442
DB00091	D015464
DB00091	D054198
DB00091	D016403
DB00091	D016400
DB00091	D000069293
DB00091	D008258
DB00091	D015477
DB00091	D054429
DB00091	D007943
DB00091	D015466
DB00091	D008230
DB00091	D015465
DB00091	D054391
DB00091	D064090
DB00091	D000740
DB00091	D009190
DB00091	D009196
DB00091	D000753
DB00091	D008232
DB00091	D054437
DB00091	D000095542
DB00091	D000754
DB00091	D006086
DB00091	D012008
DB00563	D002051
DB00563	D007951
DB00563	D015470
DB00563	D008224
DB00563	D009362
DB00563	D008228
DB00563	D016393
DB00563	D007945
DB00563	D015451
DB00563	D006689
DB00563	D020522
DB00563	D018442
DB00563	D015464
DB00563	D054198
DB00563	D016403
DB00563	D016400
DB00563	D000069293
DB00563	D008258
DB00563	D015477
DB00563	D054429
DB00563	D007943
DB00563	D015466
DB00563	D008230
DB00563	D015465
DB00563	D054391
DB00563	D064090
DB00563	D000740
DB00563	D000753
DB00563	D008232
DB00563	D054437
DB00563	D000095542
DB00563	D000754
DB00563	D006086
DB00563	D012008
DB02546	D002051
DB02546	D008223
DB02546	D007938
DB02546	D007951
DB02546	D015470
DB02546	D008224
DB02546	D009362
DB02546	D008228
DB02546	D016393
DB02546	D007945
DB02546	D015451
DB02546	D006689
DB02546	D020522
DB02546	D018442
DB02546	D015464
DB02546	D054198
DB02546	D016403
DB02546	D016400
DB02546	D000069293
DB02546	D008258
DB02546	D015477
DB02546	D054429
DB02546	D007943
DB02546	D015466
DB02546	D008230
DB02546	D015465
DB02546	D054391
DB02546	D064090
DB02546	D000740
DB02546	D009190
DB02546	D009196
DB02546	D000753
DB02546	D008232
DB02546	D054437
DB02546	D000095542
DB02546	D000754
DB02546	D006086
DB02546	D012008
DB00864	D002051
DB00864	D007951
DB00864	D015470
DB00864	D008224
DB00864	D009362
DB00864	D008228
DB00864	D016393
DB00864	D007945
DB00864	D015451
DB00864	D006689
DB00864	D020522
DB00864	D018442
DB00864	D015464
DB00864	D054198
